sl_no,item_code,baan_company,item_name,item_description,features,image,dimensions,ware_house,consumer_basic,ed,pkg,total,item_color,item_category,item_category_code,price_date,created_by,created_date,created_time,timestamp_value,remarks,status
613,STO15TD6XXX,241,KD Optimizer 15 TD6-Twin Mobile Drive Unit 6 Bay,KD Optimizer 15 TD6-Twin Mobile Drive Unit 6 Bay,,KD_Optimizer_img20.jpg,TD6(915 mm W x 381mm D x 1980mm H),F53,260665,26718,,287383," 224 : Bond White Body, Understruture and Locking Stiffner & Snowbell GREY Drive Cover Unit,  206 : Sesame Beige Body, Understruture and Locking Stiffner & Umbertone Brown Drive Cover Unit",Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
614,STOPHD00XXX,241,KD Optimizer 15 HD-Hinge Door Pair,KD Optimizer 15 HD-Hinge Door Pair,,KD_Optimizer_img21.jpg,HD(915 mm W x 381mm D x 1980mm H),F53,5021,515,,5536," 225 : Bond White Body, Understruture and Locking Stiffner & Snowbell GREY Drive Cover Unit,  206 : Sesame Beige Body, Understruture and Locking Stiffner & Umbertone Brown Drive Cover Unit",Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
615,STO18SS1XXX,241,KD Optimizer 18 SS1-Single Static 1 Bay Push Pull Type,KD Optimizer 18 SS1-Single Static 1 Bay Push Pull Type,,KD_Optimizer18_img1.jpg,SS1(915 mm W x 457mm D x 1980mm H),F53,18471,1893,,20365,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
616,STO18SL1XXX,241,KD Optimizer 18 SL1-Single Last   1 Bay Push Pull Type,KD Optimizer 18 SL1-Single Last   1 Bay Push Pull Type,,KD_Optimizer18_img2.jpg,SL1(915 mm W x 457mm D x 1980mm H),F53,20759,2128,,22887,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
617,STO18TM1XXX,241,KD Optimizer 18 TM1-Twin Mobile   1Bay Push Pull Type,KD Optimizer 18 TM1-Twin Mobile   1Bay Push Pull Type,,KD_Optimizer18_img3.jpg,TM1(915 mm W x 457mm D x 1980mm H),F53,31750,3254,,35004,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
618,STO18SS2XXX,241,KD Optimizer 18 SS2-Single Static 2 Bay Push Pull Type,KD Optimizer 18 SS2-Single Static 2 Bay Push Pull Type,,KD_Optimizer18_img4.jpg,SS2(915 mm W x 457mm D x 1980mm H),F53,32941,3376,,36317,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
619,STO18SL2XXX,241,KD Optimizer 18 SL2-Single Last   2 Bay Push Pull Type,KD Optimizer 18 SL2-Single Last   2 Bay Push Pull Type,,KD_Optimizer18_img5.jpg,SL2(915 mm W x 457mm D x 1980mm H),F53,35008,3588,,38597,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
620,STO18TM2XXX,241,KD Optimizer 18 TM2-Twin Mobile  2 Bay Push Pull Type,KD Optimizer 18 TM2-Twin Mobile  2 Bay Push Pull Type,,KD_Optimizer18_img6.jpg,TM2(915 mm W x 457mm D x 1980mm H),F53,55132,5651,,60783,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
621,STO18SD2XXX,241,KD Optimizer 18 SD2-Single Static Drive Cover Unit  2 Bay,KD Optimizer 18 SD2-Single Static Drive Cover Unit  2 Bay,,KD_Optimizer18_img7.jpg,SD2(915 mm W x 457mm D x 1980mm H),F53,37236,3817,,41053,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
622,STO18LD2XXX,241,KD Optimizer 18 LD2-Single Last Drive Unit 2 Bay,KD Optimizer 18 LD2-Single Last Drive Unit 2 Bay,,KD_Optimizer18_img8.jpg,LD2(915 mm W x 457mm D x 1980mm H),F53,48522,4974,,53496,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
